 ~-~-~HERD IMMUNITY SIMULATION~-~-~
Person #9842 died. 
Person #9685 survived. 
Person #8764 survived. 
Person #9340 died. 
Person #8887 survived. 
Person #8053 died. 
Person #9487 survived. 
Person #7956 died. 
Person #8356 survived. 
Person #8728 died. 
Person #8752 died. 
Person #8005 died. 
Person #8510 died. 
Person #9981 died. 
Person #9222 survived. 
Person #8087 survived. 
Person #8319 survived. 
Person #7932 died. 
Person #8284 died. 
Person #8922 died. 
Person #9249 died. 
Person #8938 died. 
Person #9505 died. 
Person #8558 died. 
Person #8854 survived. 
Person #9632 died. 
Person #9008 died. 
Person #9521 died. 
Person #9844 died. 
Person #9953 died. 
Person #9213 died. 
Person #9403 died. 
Person #8487 died. 
Person #9729 survived. 
Person #9252 died. 
Person #9612 survived. 
Person #7905 died. 
Person #8206 survived. 
Person #8795 survived. 
Person #9980 died. 
Person #9607 died. 
Person #8449 died. 
Person #8043 died. 
Person #9107 survived. 
Person #8030 died. 
Person #9701 died. 
Person #9663 died. 
Person #8821 died. 
Person #8162 survived. 
Person #9584 died. 
Person #9245 survived. 
Person #9241 survived. 
Person #8139 died. 
Person #8463 died. 
Person #9797 died. 
Person #8473 died. 
Person #8385 died. 
Person #9078 died. 
Person #9362 died. 
Person #8219 died. 
Person #9250 died. 
Person #9804 died. 
Person #9658 died. 
Person #9580 survived. 
Person #8305 died. 
Person #9287 died. 
Person #8091 died. 
Person #8680 died. 
Person #8831 died. 
Person #9476 survived. 
Person #9694 survived. 
Person #8329 survived. 
Person #9282 died. 
Person #9057 died. 
Person #9050 died. 
Person #9359 survived. 
Person #8031 survived. 
Person #8872 died. 
Person #9728 survived. 
Person #8040 died. 
Person #8606 died. 
Person #9197 died. 
Person #8927 survived. 
Person #9975 survived. 
Person #9127 died. 
Person #8512 survived. 
Person #8323 died. 
Person #8624 died. 
Person #9210 died. 
Person #7954 survived. 
Person #8815 died. 
Person #7983 died. 
Person #8080 survived. 
Person #8904 died. 
Person #9982 died. 
Person #8640 died. 
Person #9276 died. 
Person #9074 died. 
Person #9672 survived. 
Person #9682 died. 
Person #9916 survived. 
Person #8946 survived. 
Person #8630 died. 
Person #9524 died. 
Person #8770 survived. 
Person #9365 died. 
Person #9902 survived. 
Person #8175 died. 
Person #8661 died. 
Person #9061 died. 
Person #9161 died. 
Person #9745 died. 
Person #8548 survived. 
Person #8880 survived. 
Person #9402 died. 
Person #8213 died. 
Person #8368 died. 
Person #9762 died. 
Person #8196 died. 
Person #9411 died. 
Person #8748 survived. 
Person #8954 died. 
Person #8104 died. 
Person #8557 survived. 
Person #7942 died. 
Person #8628 died. 
Person #8003 died. 
Person #8271 survived. 
Person #8920 died. 
Person #8205 died. 
Person #8375 survived. 
Person #8047 survived. 
Person #8448 survived. 
Person #8387 died. 
Person #9504 died. 
Person #9971 survived. 
Person #9191 died. 
Person #9433 died. 
Person #8940 survived. 
Person #8965 survived. 
Person #9547 died. 
Person #8803 died. 
Person #8800 survived. 
Person #9621 died. 
Person #9714 died. 
Person #8970 died. 
Person #9375 died. 
Person #7962 survived. 
Person #8445 survived. 
Person #9159 died. 
Person #9786 died. 
Person #9111 survived. 
Person #8197 died. 
Person #8210 died. 
Person #9648 survived. 
Person #9129 died. 
Person #9948 died. 
Person #8918 died. 
Person #8668 died. 
Person #8734 survived. 
Person #8398 died. 
Person #8547 died. 
Person #9381 died. 
Person #9006 died. 
Person #9334 survived. 
Person #8260 survived. 
Person #9881 survived. 
Person #9432 died. 
Person #9771 survived. 
Person #7920 died. 
Person #9674 died. 
Person #8457 survived. 
Person #9571 died. 
Person #9341 died. 
Person #9497 survived. 
Person #7965 survived. 
Person #9357 died. 
Person #8165 died. 
Person #7979 died. 
Person #9363 died. 
Person #9059 died. 
Person #8779 died. 
Person #8928 survived. 
Person #8389 survived. 
Person #8411 died. 
Person #9187 died. 
Person #8051 died. 
Person #8273 died. 
Person #9315 died. 
Person #9579 died. 
Person #9747 died. 
Person #8182 died. 
Person #8959 survived. 
Person #7958 died. 
Person #9134 died. 
Person #8567 died. 
Person #9862 survived. 
Person #8495 survived. 
Person #9911 died. 
Person #8772 survived. 
Person #8995 died. 
Person #9299 survived. 
Person #9169 died. 
Person #9990 died. 
Person #8506 died. 
Person #9774 died. 
Person #8727 died. 
Person #8415 died. 
Person #9516 survived. 
Person #9578 died. 
Person #9673 survived. 
Person #9717 survived. 
Person #8066 died. 
Person #9406 died. 
Person #8476 died. 
Person #8985 survived. 
Person #8096 died. 
Person #8404 died. 
Person #8166 died. 
Person #8704 died. 
Person #9115 survived. 
Person #8093 died. 
Person #9951 survived. 
Person #8935 survived. 
Person #8101 died. 
Person #9215 died. 
Person #9655 died. 
Person #8250 died. 
Person #9409 survived. 
Person #8990 died. 
Person #8577 died. 
Person #8632 died. 
Person #8246 died. 
Person #8810 died. 
Person #9239 died. 
Person #9417 died. 
Person #9054 survived. 
Person #7924 died. 
Person #8303 survived. 
Person #9398 survived. 
Person #8257 died. 
Person #9470 survived. 
Person #9865 died. 
Person #9171 died. 
Person #8050 survived. 
Person #9143 died. 
Person #9958 died. 
Person #8149 died. 
Person #8485 died. 
Person #8193 survived. 
Person #8493 died. 
Person #9364 survived. 
Person #8013 died. 
Person #9331 died. 
Person #8660 died. 
Person #8601 died. 
Person #8442 survived. 
Person #9098 died. 
Person #8443 died. 
Person #8826 died. 
Person #8839 survived. 
Person #8229 survived. 
Person #8272 died. 
Person #8241 survived. 
Person #9090 died. 
Person #9494 died. 
Person #9367 died. 
Person #9645 died. 
Person #8565 died. 
Person #8902 survived. 
Person #8391 died. 
Person #8511 died. 
Person #8312 died. 
Person #8626 died. 
Person #9288 died. 
Person #9203 died. 
Person #9756 died. 
Person #9872 died. 
Person #9234 survived. 
Person #8539 died. 
Person #9179 survived. 
Person #8576 died. 
Person #9228 died. 
Person #8433 survived. 
Person #8564 died. 
Person #8413 died. 
Person #7904 died. 
Person #9131 died. 
Person #9007 died. 
Person #9348 died. 
Person #8983 died. 
Person #8124 survived. 
Person #8503 died. 
Person #8032 died. 
Person #9225 died. 
Person #9845 died. 
Person #9537 died. 
Person #8136 died. 
Person #8177 survived. 
Person #9725 died. 
Person #8119 survived. 
Person #8430 survived. 
Person #9905 survived. 
Person #9011 survived. 
Person #9353 died. 
Person #8676 died. 
Person #9810 died. 
Person #9827 died. 
Person #8480 survived. 
Person #9135 died. 
Person #8673 died. 
Person #9899 survived. 
Person #9974 survived. 
Person #8127 died. 
Person #9997 survived. 
Person #9783 died. 
Person #9739 died. 
Person #9180 died. 
Person #8731 died. 
Person #8459 survived. 
Person #9651 died. 
Person #8869 died. 
Person #7912 survived. 
Person #8757 died. 
Person #9311 survived. 
Person #9438 died. 
Person #8758 died. 
Person #9326 died. 
Person #8326 died. 
Person #9541 survived. 
Person #9295 died. 
Person #9473 died. 
Person #9702 survived. 
Person #9157 died. 
Person #8613 survived. 
Person #8357 survived. 
Person #9369 survived. 
Person #8559 died. 
Person #8924 died. 
Person #9297 died. 
Person #8458 died. 
Person #8835 survived. 
Person #8417 survived. 
Person #8022 died. 
Person #9416 survived. 
Person #8478 survived. 
Person #7906 died. 
Person #8788 died. 
Person #8321 died. 
Person #8492 died. 
Person #8956 died. 
Person #8579 died. 
Person #9230 died. 
Person #9807 died. 
Person #9596 survived. 
Person #9366 died. 
Person #9823 survived. 
Person #8331 survived. 
Person #9588 survived. 
Person #7939 died. 
Person #8699 survived. 
Person #8295 survived. 
Person #9003 died. 
Person #9676 survived. 
Person #9799 died. 
Person #8670 survived. 
Person #9560 survived. 
Person #8934 died. 
Person #8453 died. 
Person #9019 died. 
Person #9586 survived. 
Person #8021 survived. 
Person #8340 died. 
Person #8525 survived. 
Person #8689 survived. 
Person #9628 survived. 
Person #8543 died. 
Person #8300 survived. 
Person #9012 died. 
Person #7996 died. 
Person #9196 survived. 
Person #8217 died. 
Person #8527 died. 
Person #9961 died. 
Person #7889 died. 
Person #8426 died. 
Person #9319 died. 
Person #7923 survived. 
Person #9941 survived. 
Person #9585 died. 
Person #8822 survived. 
Person #9461 died. 
Person #8129 survived. 
Person #8345 died. 
Person #9324 died. 
Person #9518 died. 
Person #9244 died. 
Person #8414 died. 
Person #8152 died. 
Person #7916 survived. 
Person #9478 survived. 
Person #9466 died. 
Person #9217 died. 
Person #8372 died. 
Person #9174 died. 
Person #8560 died. 
Person #8153 died. 
Person #8971 survived. 
Person #9828 survived. 
Person #9023 survived. 
Person #7931 died. 
Person #9870 died. 
Person #8957 died. 
Person #8048 died. 
Person #8370 survived. 
Person #9712 died. 
Person #8125 died. 
Person #9908 survived. 
Person #8240 survived. 
Person #9377 died. 
Person #8412 died. 
Person #8674 survived. 
Person #8811 died. 
Person #9173 died. 
Person #8469 survived. 
Person #9270 survived. 
Person #8798 died. 
Person #9927 died. 
Person #9424 died. 
Person #8591 died. 
Person #8324 survived. 
Person #9706 survived. 
Person #8026 died. 
Person #9979 survived. 
Person #9155 survived. 
Person #7993 survived. 
Person #8773 died. 
Person #9956 survived. 
Person #8353 survived. 
Person #8371 survived. 
Person #8597 died. 
Person #8852 survived. 
Person #9274 died. 
Person #9598 died. 
Person #9877 died. 
Person #9904 died. 
Person #8580 died. 
Person #9966 survived. 
Person #9037 died. 
Person #9644 died. 
Person #8638 died. 
Person #8761 survived. 
Person #8343 survived. 
Person #9577 died. 
Person #9493 died. 
Person #9349 died. 
Person #8610 died. 
Person #8157 died. 
Person #9254 died. 
Person #9912 survived. 
Person #9851 died. 
Person #8186 survived. 
Person #9419 died. 
Person #8903 died. 
Person #9072 survived. 
Person #8107 died. 
Person #9789 died. 
Person #8987 died. 
Person #9009 died. 
Person #8327 died. 
Person #9837 survived. 
Person #8465 survived. 
Person #9255 died. 
Person #9833 died. 
Person #9617 died. 
Person #8767 survived. 
Person #8068 died. 
Person #9995 died. 
Person #9917 died. 
Person #9850 survived. 
Person #9468 survived. 
Person #9629 died. 
Person #8338 survived. 
Person #8966 survived. 
Person #9795 died. 
Person #9489 died. 
Person #9031 survived. 
Person #7900 survived. 
Person #9105 died. 
Person #9637 died. 
Person #9614 died. 
Person #9742 died. 
Person #8359 died. 
Person #9089 died. 
Person #8751 died. 
~~Step 1~~
 Newly infected: 1297
 New deaths: 356
 Amount alive: 9588
 Amount vaccinated: 8011
 Amount dead: 412
Time step 1 ended, beginning 2
~~~
Person #8170 died. 
Person #8874 died. 
Person #9531 died. 
Person #8572 survived. 
Person #8952 survived. 
Person #8071 died. 
Person #8011 died. 
Person #9302 died. 
Person #8817 died. 
Person #8052 died. 
Person #9526 died. 
Person #7947 survived. 
Person #8682 died. 
Person #8029 died. 
Person #9689 died. 
Person #8484 died. 
Person #8776 died. 
Person #8879 survived. 
Person #9062 survived. 
Person #9652 survived. 
Person #8989 died. 
Person #9820 died. 
Person #7975 survived. 
Person #9066 died. 
Person #8936 survived. 
Person #9427 survived. 
Person #9144 died. 
Person #9038 died. 
Person #8033 died. 
Person #8602 survived. 
Person #9374 died. 
Person #7899 died. 
Person #9443 died. 
Person #9667 died. 
Person #9977 died. 
Person #9298 died. 
Person #8472 died. 
Person #9152 died. 
Person #9294 survived. 
Person #9796 survived. 
Person #8663 survived. 
Person #8953 survived. 
Person #8561 died. 
Person #9846 survived. 
Person #8538 died. 
Person #9535 died. 
Person #8302 died. 
Person #7892 survived. 
Person #9914 died. 
Person #8296 survived. 
Person #9231 survived. 
Person #8405 survived. 
Person #8203 died. 
Person #8550 survived. 
Person #9788 survived. 
Person #8085 died. 
Person #9248 died. 
Person #9126 died. 
Person #9065 died. 
Person #8837 died. 
Person #9400 died. 
Person #9838 died. 
Person #9522 died. 
Person #8020 died. 
Person #8392 died. 
Person #7951 survived. 
Person #9172 died. 
Person #9767 died. 
Person #8077 died. 
Person #9207 survived. 
Person #7966 died. 
Person #8532 died. 
Person #9259 survived. 
Person #9450 died. 
Person #9885 died. 
Person #9840 died. 
Person #9029 died. 
Person #9749 died. 
Person #9175 survived. 
Person #8410 died. 
Person #8252 survived. 
Person #8808 survived. 
Person #8884 died. 
Person #8521 died. 
Person #7908 survived. 
Person #9145 died. 
Person #7997 died. 
Person #8570 died. 
Person #8843 died. 
Person #8446 survived. 
Person #8652 died. 
Person #9303 died. 
Person #8454 died. 
Person #8342 survived. 
Person #8232 died. 
Person #9858 died. 
Person #8188 died. 
Person #8204 survived. 
Person #8235 survived. 
Person #9618 died. 
Person #8629 died. 
Person #8552 died. 
Person #8113 died. 
Person #8913 survived. 
Person #9873 died. 
Person #8584 died. 
Person #9372 died. 
Person #9613 survived. 
Person #8286 died. 
Person #9940 survived. 
Person #8094 died. 
Person #8373 died. 
Person #9686 died. 
Person #8070 died. 
Person #9404 died. 
Person #9312 survived. 
Person #9499 survived. 
Person #8708 died. 
Person #9587 survived. 
Person #9314 died. 
Person #9032 survived. 
Person #9555 died. 
Person #8042 survived. 
Person #8897 survived. 
Person #8509 survived. 
Person #8781 died. 
Person #8264 died. 
Person #8842 died. 
Person #9636 died. 
Person #8611 survived. 
Person #9136 died. 
Person #9264 died. 
Person #9253 died. 
Person #9236 died. 
Person #8604 died. 
Person #9569 died. 
Person #8634 died. 
Person #9283 died. 
Person #8684 survived. 
Person #8290 died. 
Person #8155 died. 
Person #9232 died. 
Person #8790 died. 
Person #8981 died. 
Person #9994 survived. 
Person #8122 died. 
Person #9688 survived. 
Person #9641 survived. 
Person #9355 survived. 
Person #8507 survived. 
Person #9705 died. 
Person #8766 died. 
Person #8218 died. 
Person #9622 died. 
Person #8466 died. 
Person #8179 died. 
Person #8348 died. 
Person #9709 died. 
Person #8824 died. 
Person #9093 died. 
Person #7933 died. 
Person #9805 survived. 
Person #8949 died. 
Person #9309 survived. 
Person #9122 died. 
Person #9920 died. 
Person #8014 died. 
Person #8571 survived. 
Person #9449 died. 
Person #7946 died. 
Person #8882 survived. 
Person #9480 died. 
Person #8184 died. 
Person #8069 died. 
Person #8681 died. 
Person #9623 survived. 
Person #8848 died. 
Person #8785 died. 
Person #8214 died. 
Person #9889 survived. 
Person #8432 died. 
Person #9018 died. 
Person #8729 survived. 
Person #8007 died. 
Person #9327 died. 
Person #7952 survived. 
Person #8045 died. 
Person #9004 survived. 
Person #8008 died. 
Person #9649 survived. 
Person #8857 died. 
Person #8120 died. 
Person #9620 died. 
Person #9575 survived. 
Person #8586 died. 
Person #9744 died. 
Person #9860 died. 
Person #9656 survived. 
Person #8641 died. 
Person #9482 died. 
Person #8061 survived. 
Person #9960 survived. 
Person #8968 died. 
Person #8496 survived. 
Person #9743 died. 
Person #9456 died. 
Person #9094 survived. 
Person #9965 survived. 
Person #9046 died. 
Person #8400 died. 
Person #9118 survived. 
Person #8656 died. 
Person #9901 died. 
Person #8669 died. 
Person #9687 died. 
Person #7982 died. 
Person #8907 died. 
Person #8403 survived. 
Person #9147 survived. 
Person #9998 survived. 
Person #8054 died. 
Person #9034 died. 
Person #9333 survived. 
Person #9764 survived. 
Person #8201 survived. 
Person #9698 survived. 
Person #8112 died. 
Person #8526 died. 
Person #9477 survived. 
Person #9608 survived. 
Person #8451 died. 
Person #9083 died. 
Person #8851 died. 
Person #9619 died. 
Person #9435 survived. 
Person #8926 died. 
Person #8974 survived. 
Person #9014 survived. 
Person #9983 survived. 
Person #8354 died. 
Person #8181 died. 
Person #9947 died. 
Person #9484 survived. 
Person #8707 survived. 
Person #9679 died. 
Person #9070 died. 
Person #8575 died. 
Person #7943 survived. 
Person #8794 survived. 
Person #8159 survived. 
Person #8951 died. 
Person #8274 died. 
Person #9045 died. 
Person #9067 died. 
Person #8709 survived. 
Person #8711 died. 
Person #8688 survived. 
Person #9949 survived. 
Person #8337 survived. 
Person #8118 survived. 
Person #8046 died. 
Person #8513 died. 
Person #8805 died. 
Person #8381 survived. 
Person #9068 died. 
Person #8834 died. 
Person #8819 survived. 
Person #8942 died. 
Person #8145 died. 
Person #9753 died. 
Person #8141 died. 
Person #8108 died. 
Person #9399 survived. 
Person #9100 died. 
Person #9092 died. 
Person #9772 died. 
Person #9661 died. 
Person #8090 survived. 
Person #8078 survived. 
Person #9507 died. 
Person #7937 survived. 
Person #8482 died. 
Person #9703 died. 
Person #9323 died. 
Person #8436 died. 
Person #9970 died. 
Person #8541 died. 
Person #8958 survived. 
Person #9120 died. 
Person #9678 died. 
Person #7891 survived. 
Person #9360 died. 
Person #8804 died. 
Person #8309 survived. 
Person #9020 died. 
Person #9047 died. 
Person #9488 survived. 
Person #9898 died. 
Person #8332 died. 
Person #8190 died. 
Person #9642 died. 
Person #9821 died. 
Person #9064 survived. 
Person #7977 died. 
Person #8315 survived. 
Person #8712 died. 
Person #8237 died. 
Person #9999 survived. 
Person #8501 survived. 
Person #8991 survived. 
Person #8350 survived. 
Person #8220 died. 
Person #8470 died. 
Person #8883 died. 
Person #9926 died. 
Person #9091 died. 
Person #8010 died. 
Person #8745 died. 
Person #7949 died. 
Person #9305 died. 
Person #9800 survived. 
Person #8730 died. 
Person #8694 died. 
Person #8192 died. 
Person #9733 died. 
Person #9154 died. 
Person #8313 died. 
Person #9130 survived. 
Person #8618 died. 
Person #9448 survived. 
Person #9923 died. 
Person #9610 died. 
Person #9763 died. 
Person #9310 died. 
Person #9216 survived. 
Person #7961 survived. 
Person #9855 survived. 
Person #8176 died. 
Person #8280 survived. 
Person #9451 died. 
Person #8038 died. 
Person #8742 died. 
Person #8215 died. 
Person #7960 survived. 
Person #8074 died. 
Person #9604 died. 
Person #8675 died. 
Person #7902 died. 
Person #8870 died. 
Person #8481 died. 
Person #8760 survived. 
Person #9058 died. 
Person #9606 died. 
Person #9256 died. 
Person #9246 died. 
Person #8055 died. 
Person #8542 died. 
Person #8320 died. 
Person #8961 died. 
Person #8374 died. 
Person #9000 died. 
Person #8316 died. 
Person #8885 survived. 
Person #8962 died. 
Person #9876 died. 
Person #8483 survived. 
Person #8984 survived. 
Person #9426 died. 
Person #8378 died. 
Person #9081 survived. 
Person #7925 survived. 
Person #9746 survived. 
Person #8549 survived. 
Person #9785 died. 
Person #8097 died. 
Person #8867 died. 
Person #9780 survived. 
Person #9307 survived. 
Person #8382 died. 
Person #8361 died. 
Person #8017 survived. 
Person #9275 died. 
Person #8976 died. 
Person #9455 died. 
Person #9934 survived. 
Person #9530 survived. 
Person #8759 died. 
Person #9670 died. 
Person #8360 died. 
Person #9087 died. 
Person #9699 died. 
Person #9609 died. 
Person #9342 died. 
Person #8439 died. 
Person #9425 survived. 
Person #8292 died. 
Person #9835 died. 
Person #8635 died. 
Person #9445 died. 
Person #8801 died. 
Person #9332 died. 
Person #9483 died. 
Person #7944 died. 
Person #8754 survived. 
Person #9936 died. 
Person #7957 survived. 
Person #8768 survived. 
Person #8820 died. 
Person #8603 died. 
Person #9474 survived. 
Person #9102 survived. 
Person #9318 died. 
Person #9978 died. 
Person #8997 died. 
Person #8845 died. 
Person #8583 survived. 
Person #8233 survived. 
Person #8248 survived. 
Person #8787 died. 
Person #8172 died. 
Person #8380 died. 
Person #7959 died. 
Person #9370 died. 
Person #9811 died. 
Person #8276 died. 
Person #9640 died. 
Person #8696 survived. 
Person #9086 died. 
Person #8625 died. 
Person #7911 died. 
Person #8546 survived. 
Person #8158 died. 
Person #8135 survived. 
Person #9052 survived. 
Person #8756 died. 
Person #8533 died. 
Person #8294 survived. 
Person #8775 died. 
Person #9814 survived. 
Person #9572 survived. 
Person #8317 survived. 
Person #9819 died. 
Person #9937 survived. 
Person #9243 died. 
Person #9257 died. 
Person #9697 died. 
Person #8287 survived. 
Person #8529 died. 
Person #8645 survived. 
Person #8716 died. 
Person #8475 died. 
Person #8906 died. 
Person #9563 died. 
Person #9972 died. 
Person #9794 died. 
Person #9590 died. 
Person #8825 died. 
Person #8919 died. 
Person #8859 died. 
Person #9150 survived. 
Person #9028 died. 
Person #9829 died. 
Person #9790 died. 
Person #7972 survived. 
Person #9082 died. 
Person #9391 died. 
Person #9005 died. 
Person #8574 died. 
Person #8039 died. 
Person #9240 died. 
Person #8721 died. 
Person #9933 survived. 
Person #8812 died. 
Person #8440 died. 
Person #8519 died. 
Person #7988 survived. 
Person #9422 survived. 
Person #9854 died. 
Person #9895 died. 
Person #9812 survived. 
Person #8208 died. 
Person #9258 died. 
Person #8943 died. 
Person #8335 died. 
Person #9208 survived. 
Person #8283 died. 
Person #8462 died. 
Person #9235 survived. 
Person #8407 survived. 
Person #8346 died. 
Person #9815 died. 
Person #9266 died. 
Person #8647 survived. 
Person #8444 died. 
Person #7984 died. 
Person #9921 survived. 
Person #9181 died. 
Person #8718 died. 
Person #9775 survived. 
Person #8769 died. 
Person #9043 survived. 
Person #9529 died. 
Person #8195 survived. 
Person #8930 died. 
Person #8612 died. 
Person #8075 died. 
Person #9962 survived. 
Person #7974 died. 
Person #9543 died. 
Person #9099 died. 
Person #9096 died. 
Person #7894 died. 
Person #8873 died. 
Person #8679 survived. 
Person #9160 died. 
Person #8686 died. 
Person #8486 died. 
Person #8517 died. 
Person #9392 survived. 
Person #7898 died. 
Person #9188 died. 
Person #9184 survived. 
Person #8116 died. 
Person #9153 survived. 
Person #8180 died. 
Person #9550 died. 
Person #8522 died. 
Person #8057 survived. 
Person #9695 died. 
Person #7945 survived. 
Person #9834 died. 
Person #8491 died. 
Person #8434 survived. 
Person #9317 died. 
Person #8402 died. 
Person #8530 died. 
Person #8923 died. 
Person #9938 died. 
Person #8425 survived. 
Person #9437 survived. 
Person #9396 died. 
Person #9553 survived. 
Person #7907 survived. 
Person #8732 died. 
Person #9853 died. 
Person #8227 died. 
Person #9346 died. 
Person #8912 died. 
Person #9867 died. 
Person #9292 died. 
Person #9280 died. 
Person #9601 survived. 
Person #8573 survived. 
Person #8871 survived. 
Person #8941 died. 
Person #8998 survived. 
Person #8341 died. 
Person #8786 survived. 
Person #9073 survived. 
Person #9325 died. 
Person #8349 died. 
Person #9170 died. 
Person #8015 died. 
Person #9097 died. 
Person #8344 survived. 
Person #9737 died. 
Person #9843 survived. 
Person #8659 died. 
Person #8977 survived. 
Person #9510 died. 
Person #8364 survived. 
Person #8318 survived. 
Person #8755 survived. 
Person #9079 died. 
Person #8105 survived. 
Person #9592 died. 
Person #8864 died. 
Person #9945 died. 
Person #8173 survived. 
Person #9693 died. 
Person #8245 survived. 
Person #8524 survived. 
Person #8325 died. 
Person #8267 survived. 
Person #9017 died. 
Person #9818 died. 
Person #8705 died. 
Person #8386 died. 
Person #8036 died. 
Person #9479 died. 
Person #8236 died. 
Person #8666 died. 
Person #9405 died. 
Person #7935 survived. 
Person #8896 died. 
Person #9808 survived. 
Person #9108 died. 
Person #8809 died. 
Person #8687 died. 
Person #8534 survived. 
Person #9394 died. 
Person #8134 died. 
Person #9684 survived. 
Person #7991 survived. 
Person #9121 died. 
Person #8209 died. 
Person #8765 survived. 
Person #8536 died. 
Person #9704 survived. 
Person #9852 survived. 
Person #8460 survived. 
Person #9832 died. 
Person #8980 died. 
Person #9770 died. 
Person #9848 died. 
Person #8474 survived. 
Person #7981 died. 
Person #8388 died. 
Person #8223 died. 
Person #9204 survived. 
Person #9857 died. 
Person #8041 died. 
Person #9544 survived. 
Person #8282 died. 
Person #8037 died. 
Person #9968 survived. 
Person #8212 died. 
Person #9190 survived. 
Person #9816 died. 
Person #8710 died. 
Person #9696 survived. 
Person #9557 survived. 
Person #9888 died. 
Person #8735 died. 
Person #9669 died. 
Person #7922 died. 
Person #9492 died. 
Person #8858 died. 
Person #8588 survived. 
Person #9826 died. 
Person #8717 died. 
Person #8140 survived. 
Person #8115 died. 
Person #9738 survived. 
Person #8868 died. 
Person #9486 survived. 
Person #8258 died. 
Person #9095 died. 
Person #8189 survived. 
Person #8293 survived. 
Person #9002 survived. 
Person #9690 died. 
Person #9015 survived. 
Person #9973 survived. 
Person #8944 died. 
Person #8334 died. 
Person #8838 survived. 
Person #9186 died. 
Person #8018 died. 
Person #9229 died. 
Person #9051 survived. 
Person #8890 died. 
Person #9049 died. 
Person #9583 died. 
Person #8024 died. 
Person #7989 died. 
Person #8860 survived. 
Person #9722 survived. 
Person #9932 survived. 
Person #9755 survived. 
Person #8778 died. 
Person #9286 died. 
Person #9969 survived. 
Person #8056 survived. 
Person #9534 died. 
Person #9001 died. 
Person #8467 survived. 
Person #7973 died. 
Person #9887 died. 
Person #9209 died. 
Person #8556 died. 
Person #7901 survived. 
Person #8739 died. 
Person #8438 died. 
Person #9538 died. 
Person #8738 died. 
Person #9211 survived. 
Person #8419 died. 
Person #8841 died. 
Person #8900 died. 
Person #8925 survived. 
Person #8515 died. 
Person #8771 died. 
Person #9736 died. 
Person #8693 died. 
Person #9713 died. 
Person #7895 died. 
Person #8358 died. 
Person #9401 died. 
Person #9373 died. 
Person #8840 died. 
Person #8685 survived. 
